phone_id,phone_number,phone_type,owner_person_id,service_provider,status,case_id
PH01218,+91-8363626794,Mobile,P01564,Jio,Active,C0106
PH01219,+91-7248010343,Mobile,P01564,Airtel,Active,C0106
PH01220,+91-9149791658,Mobile,P01565,Jio,Active,C0106
PH01221,+91-9655435601,Mobile,P01566,Jio,Active,C0106
PH01222,+91-8780582388,Mobile,P01566,MetroWave Communications,Active,C0106
PH01223,+91-9416965057,Mobile,P01570,Airtel,Inactive,C0107
PH01224,+91-8096713252,Landline,P01571,Vi,Inactive,C0108
PH01225,+91-7364382443,Mobile,P01572,BSNL,Active,C0108
PH01226,+91-8778805965,Mobile,P01576,Airtel,Inactive,C0108
PH01227,+91-9094666252,Mobile,P01577,Vi,Inactive,C0108
PH01228,+91-7495585579,Landline,P01578,BSNL,Active,C0108
PH01229,+91-9812173405,Mobile,P01580,MetroWave Communications,Active,C0108
PH01230,+91-9011500678,Mobile,P01583,Vi,Active,C0108
PH01231,+91-8213285499,Mobile,P01588,Jio,Active,C0109
PH01232,+91-9250807766,Mobile,P01588,Vi,Active,C0109
PH01233,+91-8943445899,Mobile,P01589,MetroWave Communications,Active,C0109
PH01234,+91-7378154962,Mobile,P01590,Vi,Active,C0109
PH01235,+91-8650696546,Mobile,P01591,Jio,Active,C0109
PH01236,+91-8355917930,Mobile,P01593,MetroWave Communications,Inactive,C0110
PH01237,+91-8938736317,Mobile,P01595,Jio,Active,C0110
PH01238,+91-8133381734,Mobile,P01596,Vi,Active,C0110
PH01239,+91-8469575343,Mobile,P01597,Airtel,Active,C0111
PH01240,+91-9614843344,Mobile,P01597,Vi,Active,C0111
PH01241,+91-8544563395,Mobile,P01598,Vi,Active,C0111
PH01242,+91-8432018113,Landline,P01599,MetroWave Communications,Active,C0111
PH01243,+91-9472397833,Mobile,P01601,Airtel,Active,C0111
PH01244,+91-9648858769,Mobile,P01602,BSNL,Active,C0111
PH01245,+91-7709051669,Mobile,P01607,Jio,Active,C0112
PH01246,+91-7536820291,Mobile,P01612,Vi,Active,C0112
PH01247,+91-9572458859,Mobile,P01613,MetroWave Communications,Inactive,C0112
PH01248,+91-7499455691,Mobile,P01615,Jio,Active,C0112
PH01249,+91-8854913787,Mobile,P01615,BSNL,Active,C0112
PH01250,+91-9001927047,Mobile,P01616,BSNL,Active,C0112
PH01251,+91-7616828168,Mobile,P01617,Vi,Inactive,C0112
PH01252,+91-8131908130,Mobile,P01619,Airtel,Inactive,C0112
PH01253,+91-7735769481,Mobile,P01620,Jio,Active,C0112
PH01254,+91-7842436950,Mobile,P01622,Jio,Active,C0112
PH01255,+91-9210240129,Mobile,P01623,MetroWave Communications,Active,C0112
PH01256,+91-8647610259,Mobile,P01624,MetroWave Communications,Active,C0112
PH01257,+91-7329514220,Mobile,P01625,MetroWave Communications,Active,C0112
PH01258,+91-8412236392,Mobile,P01626,BSNL,Active,C0112
PH01259,+91-7081178385,Landline,P01627,Vi,Active,C0113
PH01260,+91-7833906208,Mobile,P01629,BSNL,Active,C0113
PH01261,+91-7152160702,Mobile,P01629,BSNL,Active,C0113
PH01262,+91-8152369880,Mobile,P01631,MetroWave Communications,Active,C0113
PH01263,+91-7162149732,Mobile,P01631,Vi,Active,C0113
PH01264,+91-9280840101,Mobile,P01632,Vi,Active,C0113
PH01265,+91-8166868140,Mobile,P01633,Vi,Inactive,C0113
PH01266,+91-9817771778,Mobile,P01634,Airtel,Active,C0113
PH01267,+91-7925850020,Mobile,P01635,Airtel,Active,C0113
PH01268,+91-8133549028,Mobile,P01635,Airtel,Active,C0113
PH01269,+91-9486587739,Mobile,P01636,Vi,Active,C0113
PH01270,+91-9539469579,Mobile,P01637,MetroWave Communications,Active,C0113
PH01271,+91-8579775704,Mobile,P01638,Vi,Active,C0113
PH01272,+91-7468266522,Mobile,P01639,BSNL,Active,C0114
PH01273,+91-7141810929,Mobile,P01641,BSNL,Active,C0114
PH01274,+91-8515226733,Mobile,P01642,MetroWave Communications,Active,C0115
PH01275,+91-7147830343,Mobile,P01643,BSNL,Active,C0115
PH01276,+91-8895379490,Mobile,P01644,Airtel,Active,C0115
PH01277,+91-7984083446,Mobile,P01645,Jio,Inactive,C0115
PH01278,+91-9930078543,Mobile,P01647,BSNL,Active,C0115
PH01279,+91-7450690299,Mobile,P01648,Vi,Active,C0115
PH01280,+91-9733907480,Mobile,P01650,BSNL,Active,C0115
PH01281,+91-9929793388,Mobile,P01651,BSNL,Active,C0115
PH01282,+91-7265748096,Landline,P01653,MetroWave Communications,Active,C0116
PH01283,+91-9197846421,Mobile,P01654,Jio,Active,C0116
PH01284,+91-8596643489,Mobile,P01655,MetroWave Communications,Active,C0116
PH01285,+91-8594954329,Mobile,P01656,MetroWave Communications,Active,C0116
PH01286,+91-7455074372,Mobile,P01657,BSNL,Active,C0116
PH01287,+91-7412938076,Mobile,P01659,Airtel,Inactive,C0116
PH01288,+91-7681620694,Mobile,P01660,Airtel,Active,C0116
PH01289,+91-7739984985,Mobile,P01663,BSNL,Active,C0116
PH01290,+91-7448032611,Mobile,P01664,Jio,Active,C0116
PH01291,+91-7415048831,Mobile,P01667,BSNL,Active,C0116
PH01292,+91-7344475979,Mobile,P01667,Jio,Inactive,C0116
PH01293,+91-8494166360,Mobile,P01668,MetroWave Communications,Active,C0116
PH01294,+91-8418776011,Mobile,P01670,Jio,Active,C0116
PH01295,+91-9479720112,Mobile,P01671,Vi,Active,C0116
PH01296,+91-7713794579,Mobile,P01672,Jio,Active,C0116
PH01297,+91-8220259252,Mobile,P01673,Airtel,Active,C0116
PH01298,+91-8190869628,Mobile,P01674,MetroWave Communications,Inactive,C0116
PH01299,+91-8489545807,Mobile,P01675,MetroWave Communications,Active,C0116
PH01300,+91-7574558837,Mobile,P01676,Vi,Active,C0116
PH01301,+91-7273347345,Mobile,P01677,MetroWave Communications,Active,C0117
PH01302,+91-9525232034,Mobile,P01679,BSNL,Active,C0117
PH01303,+91-8086056000,Mobile,P01680,Airtel,Inactive,C0117
PH01304,+91-7748962477,Mobile,P01681,Airtel,Active,C0117
PH01305,+91-7960132850,Mobile,P01681,BSNL,Active,C0117
PH01306,+91-9352721383,Mobile,P01682,Vi,Active,C0117
PH01307,+91-7949465588,Mobile,P01682,Airtel,Active,C0117
PH01308,+91-8948934780,Mobile,P01683,Jio,Active,C0117
PH01309,+91-7006065602,Mobile,P01686,Airtel,Active,C0117
PH01310,+91-9616873930,Mobile,P01687,Vi,Active,C0117
PH01311,+91-7541413154,Mobile,P01688,MetroWave Communications,Active,C0117
PH01312,+91-9054603036,Landline,P01689,Vi,Active,C0117
PH01313,+91-9445546288,Mobile,P01691,Airtel,Active,C0117
PH01314,+91-9286391834,Mobile,P01692,MetroWave Communications,Active,C0117
PH01315,+91-8502400957,Mobile,P01693,Jio,Active,C0118
PH01316,+91-9666999752,Mobile,P01694,MetroWave Communications,Active,C0118
PH01317,+91-9589217233,Mobile,P01695,Jio,Active,C0118
PH01318,+91-8507143165,Mobile,P01696,Vi,Active,C0118
PH01319,+91-9409054243,Mobile,P01697,MetroWave Communications,Active,C0118
PH01320,+91-7414413048,Mobile,P01699,Vi,Active,C0118
PH01321,+91-7078991446,Mobile,P01700,Airtel,Active,C0118
PH01322,+91-8748535110,Mobile,P01702,BSNL,Active,C0120
PH01323,+91-9490833983,Mobile,P01706,MetroWave Communications,Active,C0120
PH01324,+91-7620709046,Mobile,P01707,BSNL,Active,C0120
PH01325,+91-7075676601,Mobile,P01708,Vi,Active,C0121
PH01326,+91-7252460159,Mobile,P01709,Airtel,Inactive,C0121
PH01327,+91-9480010166,Mobile,P01709,Airtel,Inactive,C0121
PH01328,+91-8428635536,Mobile,P01710,Jio,Active,C0121
PH01329,+91-8770132773,Mobile,P01714,Jio,Active,C0122
PH01330,+91-9442629730,Mobile,P01715,Jio,Active,C0122
PH01331,+91-7130252210,Mobile,P01715,BSNL,Inactive,C0122
PH01332,+91-8635178468,Mobile,P01716,Airtel,Active,C0122
PH01333,+91-8117855219,Mobile,P01717,Jio,Active,C0122
PH01334,+91-9964338416,Mobile,P01718,Vi,Active,C0123
PH01335,+91-8369759634,Mobile,P01719,Airtel,Active,C0123
PH01336,+91-8667875504,Mobile,P01720,Jio,Inactive,C0123
PH01337,+91-9514278152,Mobile,P01721,Airtel,Active,C0123
PH01338,+91-8341757601,Mobile,P01721,Airtel,Active,C0123
PH01339,+91-7716370468,Mobile,P01723,Vi,Active,C0123
PH01340,+91-8041821673,Mobile,P01724,Vi,Active,C0123
PH01341,+91-7422983880,Mobile,P01725,Vi,Active,C0123
PH01342,+91-9778001779,Mobile,P01726,Vi,Active,C0123
PH01343,+91-7610258196,Mobile,P01727,BSNL,Active,C0123
PH01344,+91-9027994591,Mobile,P01728,MetroWave Communications,Active,C0123
PH01345,+91-8602555635,Mobile,P01731,Airtel,Inactive,C0124
PH01346,+91-7792878921,Mobile,P01732,Airtel,Inactive,C0124
PH01347,+91-9123420095,Mobile,P01733,Airtel,Active,C0124
PH01348,+91-7748574770,Mobile,P01734,MetroWave Communications,Inactive,C0124
PH01349,+91-9729251419,Mobile,P01736,MetroWave Communications,Active,C0125
PH01350,+91-9079179532,Landline,P01737,BSNL,Active,C0125
PH01351,+91-8673487374,Mobile,P01737,Jio,Active,C0125
PH01352,+91-8078436695,Mobile,P01738,Airtel,Active,C0125
PH01353,+91-8790476885,Landline,P01739,BSNL,Active,C0125
PH01354,+91-9659534700,Mobile,P01740,Jio,Active,C0125
PH01355,+91-7317258959,Mobile,P01742,MetroWave Communications,Active,C0125
PH01356,+91-9486887265,Mobile,P01743,Vi,Active,C0125
PH01357,+91-9047112837,Mobile,P01748,Vi,Active,C0126
PH01358,+91-7784708178,Mobile,P00878,Airtel,Active,C0127
PH01359,+91-7873993021,Landline,P01749,Airtel,Active,C0127
PH01360,+91-8656357387,Mobile,P01749,Vi,Active,C0127
PH01361,+91-9324742444,Mobile,P01750,Airtel,Active,C0127
PH01362,+91-7402919363,Mobile,P01750,MetroWave Communications,Active,C0127
PH01363,+91-9501756953,Mobile,P01751,BSNL,Active,C0127
PH01364,+91-7575582337,Landline,P01752,Vi,Active,C0127
PH01365,+91-8310739022,Mobile,P01753,BSNL,Active,C0127
PH01366,+91-7328294256,Mobile,P01753,Airtel,Active,C0127
PH01367,+91-9525520410,Mobile,P01755,Vi,Active,C0127
PH01368,+91-8657660837,Mobile,P01756,MetroWave Communications,Inactive,C0128
PH01369,+91-8633271405,Mobile,P01757,Jio,Inactive,C0128
PH01370,+91-8373907855,Mobile,P01757,BSNL,Active,C0128
PH01371,+91-8917261093,Mobile,P01758,Jio,Active,C0128
PH01372,+91-8783763040,Mobile,P01759,BSNL,Inactive,C0128
PH01373,+91-8622414046,Mobile,P01760,BSNL,Active,C0128
PH01374,+91-8775429439,Mobile,P01761,MetroWave Communications,Active,C0128
PH01375,+91-8013023162,Mobile,P01764,Jio,Inactive,C0129
PH01376,+91-7133075035,Mobile,P01765,Jio,Inactive,C0129
PH01377,+91-9621692455,Mobile,P01766,BSNL,Active,C0129
PH01378,+91-7416243133,Mobile,P01767,Jio,Active,C0129
PH01379,+91-9926559983,Mobile,P01768,BSNL,Active,C0129
PH01380,+91-9757363945,Mobile,P01769,Vi,Active,C0129
PH01381,+91-8087106163,Mobile,P00496,Jio,Active,C0130
PH01382,+91-8312989163,Mobile,P01771,MetroWave Communications,Active,C0130
PH01383,+91-8855031559,Mobile,P01773,Airtel,Active,C0130
PH01384,+91-8432075731,Mobile,P01774,Jio,Active,C0130
PH01385,+91-9249848986,Mobile,P01775,MetroWave Communications,Active,C0130
PH01386,+91-8783548424,Mobile,P01776,Jio,Active,C0130
PH01387,+91-8556134102,Mobile,P01778,Vi,Active,C0130
PH01388,+91-7603426448,Mobile,P01779,MetroWave Communications,Inactive,C0130
PH01389,+91-8809724142,Mobile,P01779,Vi,Active,C0130
PH01390,+91-8640535631,Landline,P01780,Jio,Active,C0130
PH01391,+91-7688787073,Mobile,P01781,BSNL,Active,C0130
PH01392,+91-7641436644,Mobile,P01783,Jio,Active,C0130
PH01393,+91-7127019142,Mobile,P01785,Airtel,Active,C0130
PH01394,+91-7331489460,Mobile,P01786,BSNL,Active,C0130
PH01395,+91-8769343667,Mobile,P01787,Airtel,Inactive,C0130
PH01396,+91-9511312648,Mobile,P01787,MetroWave Communications,Active,C0130
PH01397,+91-7404011074,Mobile,P01788,BSNL,Active,C0130
PH01398,+91-8778479971,Mobile,P01789,Airtel,Active,C0130
PH01399,+91-8040077876,Mobile,P01792,Jio,Active,C0130
PH01400,+91-7410085471,Mobile,P01793,BSNL,Active,C0130
PH01401,+91-9229656090,Mobile,P01795,BSNL,Active,C0130
PH01402,+91-7582117017,Mobile,P01795,MetroWave Communications,Active,C0130
PH01403,+91-9528710923,Mobile,P01796,Airtel,Active,C0130
PH01404,+91-7268560450,Mobile,P01797,Airtel,Active,C0130
PH01405,+91-7304026791,Mobile,P01798,Vi,Active,C0130
PH01406,+91-8519438446,Landline,P01800,Vi,Active,C0130
PH01407,+91-8446168121,Mobile,P01802,MetroWave Communications,Active,C0130
PH01408,+91-9772295398,Landline,P01803,Jio,Active,C0130
PH01409,+91-9757713865,Mobile,P01803,Vi,Active,C0130
PH01410,+91-9279218328,Mobile,P01805,Airtel,Active,C0130
PH01411,+91-7374110757,Mobile,P01806,BSNL,Active,C0130
PH01412,+91-7426886832,Mobile,P01809,Airtel,Active,C0130
PH01413,+91-7656224358,Mobile,P01809,MetroWave Communications,Active,C0130
PH01414,+91-9643392023,Mobile,P01810,Airtel,Active,C0130
PH01415,+91-8562213781,Landline,P01812,Vi,Active,C0130
PH01416,+91-7742073368,Mobile,P01812,Airtel,Active,C0130
PH01417,+91-9179378248,Mobile,P01814,BSNL,Active,C0130
PH01418,+91-7969767457,Mobile,P01815,MetroWave Communications,Active,C0130
PH01419,+91-7324823193,Mobile,P01817,MetroWave Communications,Active,C0130
PH01420,+91-8946963133,Mobile,P01818,Jio,Inactive,C0130
PH01421,+91-8693272406,Mobile,P01821,Vi,Active,C0130
PH01422,+91-8049829603,Mobile,P01825,BSNL,Active,C0131
PH01423,+91-8544263148,Mobile,P01825,MetroWave Communications,Inactive,C0131
PH01424,+91-7319906886,Mobile,P01828,Jio,Active,C0132
PH01425,+91-9583151858,Mobile,P01829,Airtel,Active,C0132
PH01426,+91-7764098865,Landline,P01831,Jio,Active,C0132
PH01427,+91-7259546665,Mobile,P01832,MetroWave Communications,Active,C0132
PH01428,+91-8825467973,Mobile,P01833,BSNL,Active,C0132
PH01429,+91-7257400003,Mobile,P01834,MetroWave Communications,Inactive,C0132
PH01430,+91-7955482654,Mobile,P01836,Airtel,Inactive,C0132
PH01431,+91-8939200152,Mobile,P01837,Vi,Active,C0132
PH01432,+91-8217945833,Mobile,P01837,BSNL,Inactive,C0132
PH01433,+91-9825971935,Mobile,P01838,BSNL,Active,C0132
PH01434,+91-7250096250,Mobile,P01839,Airtel,Active,C0132
PH01435,+91-7452464951,Mobile,P01839,Vi,Active,C0132
PH01436,+91-8009229316,Mobile,P01840,MetroWave Communications,Active,C0132
PH01437,+91-7450650186,Mobile,P01841,MetroWave Communications,Active,C0132
PH01438,+91-8182976052,Mobile,P01842,MetroWave Communications,Active,C0132
PH01439,+91-7089528464,Mobile,P01844,Airtel,Active,C0132
PH01440,+91-7866584616,Mobile,P01848,Vi,Active,C0132
PH01441,+91-9503322056,Mobile,P01850,Jio,Inactive,C0132
PH01442,+91-7356705412,Mobile,P01852,Airtel,Active,C0132
PH01443,+91-7839929899,Mobile,P01852,BSNL,Inactive,C0132
PH01444,+91-7826308577,Mobile,P01854,MetroWave Communications,Active,C0132
PH01445,+91-7161350360,Mobile,P01856,Jio,Active,C0133
PH01446,+91-7400081928,Mobile,P01857,Vi,Active,C0133
PH01447,+91-9655254045,Mobile,P01857,Vi,Active,C0133
PH01448,+91-9672975631,Mobile,P01859,Airtel,Active,C0133
PH01449,+91-9878505799,Mobile,P01862,Airtel,Inactive,C0133
PH01450,+91-8953227747,Mobile,P01863,MetroWave Communications,Active,C0134
PH01451,+91-9079456446,Mobile,P01864,Jio,Active,C0134
PH01452,+91-7634570145,Mobile,P01865,BSNL,Active,C0134
PH01453,+91-9881549953,Mobile,P01866,Airtel,Active,C0134
PH01454,+91-9543398547,Mobile,P01867,Jio,Active,C0134
PH01455,+91-8299798275,Mobile,P01868,Vi,Active,C0134
PH01456,+91-9838599016,Mobile,P01868,BSNL,Inactive,C0134
PH01457,+91-7401030250,Mobile,P01869,Airtel,Inactive,C0134
PH01458,+91-8622615187,Mobile,P01870,Vi,Active,C0134
PH01459,+91-9528307698,Mobile,P01871,BSNL,Active,C0134
PH01460,+91-7097928668,Mobile,P00244,Jio,Active,C0135
PH01461,+91-7883690174,Mobile,P01872,MetroWave Communications,Active,C0135
PH01462,+91-7649113619,Mobile,P01873,BSNL,Active,C0135
PH01463,+91-9938211098,Mobile,P01874,Airtel,Inactive,C0135
PH01464,+91-7026123368,Mobile,P01875,Jio,Inactive,C0135
PH01465,+91-9236869616,Mobile,P01876,Airtel,Active,C0135
PH01466,+91-7260146388,Mobile,P01877,Airtel,Active,C0135
PH01467,+91-9253998527,Mobile,P01878,BSNL,Active,C0136
PH01468,+91-7295393170,Mobile,P01878,MetroWave Communications,Inactive,C0136
PH01469,+91-8263332180,Mobile,P01879,MetroWave Communications,Active,C0136
PH01470,+91-9018155176,Mobile,P01881,Vi,Inactive,C0136
PH01471,+91-7652359712,Landline,P01884,Vi,Active,C0136
PH01472,+91-9118030196,Mobile,P01888,BSNL,Active,C0136
PH01473,+91-8146452132,Mobile,P01889,Airtel,Active,C0136
PH01474,+91-8083622799,Mobile,P01890,Airtel,Inactive,C0136
PH01475,+91-9749863378,Mobile,P01892,Vi,Active,C0136
PH01476,+91-7710276704,Mobile,P01892,Jio,Active,C0136
PH01477,+91-9885484223,Mobile,P01893,MetroWave Communications,Active,C0136
PH01478,+91-7406311040,Mobile,P01894,MetroWave Communications,Active,C0136
PH01479,+91-8909976824,Mobile,P01897,MetroWave Communications,Active,C0136
PH01480,+91-7558535324,Mobile,P01898,Vi,Active,C0136
PH01481,+91-7311936135,Mobile,P01899,BSNL,Inactive,C0136
PH01482,+91-7071223118,Mobile,P01900,BSNL,Active,C0136
PH01483,+91-9947913750,Mobile,P01902,Vi,Active,C0136
PH01484,+91-7139292472,Mobile,P01906,Jio,Active,C0137
PH01485,+91-8391516819,Mobile,P01907,BSNL,Active,C0137
PH01486,+91-8779914875,Mobile,P01908,BSNL,Inactive,C0137
PH01487,+91-7364544829,Mobile,P01909,MetroWave Communications,Active,C0137
PH01488,+91-9803258650,Mobile,P01910,Airtel,Active,C0137
PH01489,+91-7565972724,Mobile,P01911,BSNL,Active,C0137
PH01490,+91-7271889232,Mobile,P01912,Airtel,Active,C0137
PH01491,+91-8839773999,Mobile,P01913,MetroWave Communications,Active,C0137
PH01492,+91-8720435554,Mobile,P01916,MetroWave Communications,Active,C0137
PH01493,+91-9510847810,Mobile,P01917,Airtel,Active,C0137
PH01494,+91-9598662117,Mobile,P01919,Vi,Active,C0137
PH01495,+91-9437982416,Mobile,P01920,Airtel,Active,C0137
PH01496,+91-7966791363,Landline,P01921,Jio,Active,C0137
PH01497,+91-8006206479,Mobile,P01922,Airtel,Active,C0137
PH01498,+91-8912430784,Mobile,P01923,Vi,Active,C0137
PH01499,+91-8962710967,Mobile,P01924,BSNL,Active,C0137
PH01500,+91-8476005122,Mobile,P01925,Jio,Active,C0137
PH01501,+91-9390249746,Mobile,P01927,MetroWave Communications,Active,C0138
PH01502,+91-8120038544,Mobile,P01929,MetroWave Communications,Active,C0138
PH01503,+91-8975117446,Mobile,P01930,MetroWave Communications,Inactive,C0138
PH01504,+91-9581315501,Mobile,P01931,Jio,Active,C0138
PH01505,+91-7250005116,Mobile,P01932,Vi,Active,C0138
PH01506,+91-7526852050,Mobile,P01932,MetroWave Communications,Active,C0138
PH01507,+91-7997418137,Mobile,P01933,Jio,Active,C0138
PH01508,+91-8555295454,Mobile,P01934,BSNL,Active,C0138
PH01509,+91-8134544022,Mobile,P01934,Vi,Active,C0138
PH01510,+91-9743978776,Mobile,P01935,Jio,Active,C0138
PH01511,+91-8842496759,Mobile,P01936,Vi,Active,C0138
PH01512,+91-8091227049,Mobile,P01936,Jio,Active,C0138
PH01513,+91-8923022896,Mobile,P01937,MetroWave Communications,Active,C0138
PH01514,+91-8384436163,Mobile,P01939,BSNL,Active,C0139
PH01515,+91-8026014352,Mobile,P01942,Vi,Active,C0139
PH01516,+91-9919373684,Mobile,P01943,Airtel,Active,C0139
PH01517,+91-9986474802,Mobile,P01944,Airtel,Active,C0139
PH01518,+91-9921695443,Mobile,P01945,BSNL,Active,C0139
PH01519,+91-8587679138,Mobile,P01946,Vi,Active,C0139
PH01520,+91-7514526430,Mobile,P01948,MetroWave Communications,Active,C0139
PH01521,+91-7318567284,Mobile,P01949,Airtel,Inactive,C0139
PH01522,+91-7697532280,Mobile,P01949,Vi,Active,C0139
PH01523,+91-7561087141,Mobile,P01951,Jio,Active,C0139
PH01524,+91-8141201849,Mobile,P01952,BSNL,Active,C0139
PH01525,+91-8043464916,Mobile,P01953,BSNL,Active,C0139
PH01526,+91-9539325586,Mobile,P01955,MetroWave Communications,Active,C0139
PH01527,+91-7667769694,Mobile,P01955,BSNL,Active,C0139
PH01528,+91-7884341433,Mobile,P01958,Vi,Active,C0139
PH01529,+91-9442001822,Landline,P01959,MetroWave Communications,Active,C0139
PH01530,+91-7009923082,Mobile,P01960,MetroWave Communications,Active,C0139
PH01531,+91-9586560151,Mobile,P01961,Vi,Active,C0139
PH01532,+91-8441993653,Mobile,P01963,Jio,Active,C0139
PH01533,+91-8569479713,Mobile,P01965,Vi,Active,C0139
PH01534,+91-9381698669,Mobile,P01966,Airtel,Active,C0139
PH01535,+91-8069831028,Mobile,P01967,Jio,Active,C0139
PH01536,+91-7105614597,Mobile,P01969,MetroWave Communications,Active,C0139
PH01537,+91-7971060192,Mobile,P01970,MetroWave Communications,Inactive,C0139
PH01538,+91-9644148455,Mobile,P01971,BSNL,Active,C0139
PH01539,+91-7839932409,Mobile,P01973,Jio,Active,C0139
PH01540,+91-8572696646,Mobile,P01974,MetroWave Communications,Active,C0139
PH01541,+91-9681790497,Mobile,P01975,Jio,Inactive,C0139
PH01542,+91-7155939134,Mobile,P01976,BSNL,Inactive,C0139
PH01543,+91-8570287343,Mobile,P01977,BSNL,Active,C0139
PH01544,+91-7611037002,Mobile,P01978,Vi,Inactive,C0139
PH01545,+91-8226789585,Landline,P01979,Airtel,Active,C0139
PH01546,+91-8289798250,Mobile,P01980,BSNL,Active,C0139
PH01547,+91-9469901450,Mobile,P01982,Airtel,Active,C0139
PH01548,+91-9403985455,Mobile,P01984,Jio,Inactive,C0140
PH01549,+91-7282167499,Landline,P01985,Vi,Active,C0140
PH01550,+91-8576368986,Mobile,P01985,Jio,Active,C0140
PH01551,+91-8629416293,Mobile,P01986,Vi,Active,C0140
PH01552,+91-9265951324,Mobile,P01987,Jio,Inactive,C0140
PH01553,+91-7721246791,Mobile,P01987,BSNL,Active,C0140
PH01554,+91-7446721671,Mobile,P01988,Airtel,Active,C0140
PH01555,+91-8246685259,Mobile,P01989,Airtel,Active,C0140
PH01556,+91-9940679740,Mobile,P01990,MetroWave Communications,Active,C0140
PH01557,+91-8400309479,Landline,P01991,Vi,Inactive,C0140
PH01558,+91-7287404295,Mobile,P01992,Airtel,Active,C0140
PH01559,+91-7206458976,Mobile,P01992,Airtel,Active,C0140
PH01560,+91-8500058740,Mobile,P01993,Jio,Active,C0140
PH01561,+91-9438576840,Mobile,P01994,MetroWave Communications,Active,C0140
PH01562,+91-9330771311,Mobile,P01994,Jio,Active,C0140
PH01563,+91-9316642892,Mobile,P01997,Airtel,Active,C0140
PH01564,+91-7344932855,Mobile,P01998,BSNL,Active,C0140
PH01565,+91-9843241500,Landline,P01999,Airtel,Active,C0140
PH01566,+91-8136742597,Landline,P02001,MetroWave Communications,Active,C0140
PH01567,+91-7048748659,Mobile,P02002,Jio,Active,C0140
PH01568,+91-7534104532,Mobile,P02004,Vi,Active,C0140
PH01569,+91-9664009863,Mobile,P02005,MetroWave Communications,Active,C0140
PH01570,+91-9936645671,Mobile,P02008,BSNL,Active,C0141
PH01571,+91-7953149535,Mobile,P02009,Airtel,Active,C0141
PH01572,+91-7407375350,Mobile,P02009,MetroWave Communications,Active,C0141
PH01573,+91-9049518108,Mobile,P02012,MetroWave Communications,Active,C0141
PH01574,+91-7570556805,Mobile,P02012,Vi,Active,C0141
PH01575,+91-7788294436,Mobile,P02013,Airtel,Active,C0141
PH01576,+91-7526825807,Mobile,P02014,Vi,Active,C0141
PH01577,+91-9446801926,Mobile,P02014,Jio,Active,C0141
PH01578,+91-9562067751,Mobile,P02015,Vi,Inactive,C0141
PH01579,+91-9535832102,Mobile,P02017,Airtel,Active,C0141
PH01580,+91-9216819832,Mobile,P02018,Jio,Inactive,C0141
PH01581,+91-9574659775,Mobile,P02018,MetroWave Communications,Active,C0141
PH01582,+91-8066334936,Mobile,P02019,Jio,Inactive,C0141
PH01583,+91-9954536581,Mobile,P02021,Airtel,Active,C0141
PH01584,+91-7450304496,Mobile,P02022,MetroWave Communications,Active,C0141
PH01585,+91-8651547925,Mobile,P02023,BSNL,Active,C0141
PH01586,+91-8689886648,Mobile,P01162,Airtel,Active,C0142
PH01587,+91-7524080922,Mobile,P02024,Jio,Active,C0142
PH01588,+91-7210779833,Mobile,P02025,BSNL,Active,C0142
PH01589,+91-8439046932,Mobile,P02026,Airtel,Active,C0142
PH01590,+91-7362605874,Mobile,P02027,MetroWave Communications,Active,C0142
PH01591,+91-9278082064,Mobile,P02028,Vi,Active,C0142
PH01592,+91-8035322067,Mobile,P02030,Vi,Active,C0143
PH01593,+91-7184631576,Mobile,P02031,BSNL,Active,C0143
PH01594,+91-9385041709,Mobile,P02033,MetroWave Communications,Active,C0144
PH01595,+91-7455915687,Mobile,P02035,MetroWave Communications,Inactive,C0144
PH01596,+91-9853589811,Mobile,P02036,MetroWave Communications,Inactive,C0144
PH01597,+91-8801773489,Mobile,P02037,MetroWave Communications,Active,C0144
PH01598,+91-9185247283,Mobile,P02037,Jio,Inactive,C0144
PH01599,+91-9433505863,Mobile,P02038,BSNL,Active,C0144
PH01600,+91-8883802572,Mobile,P02039,BSNL,Active,C0144
PH01601,+91-8161890865,Mobile,P02040,MetroWave Communications,Active,C0144
PH01602,+91-7793637355,Mobile,P02041,BSNL,Active,C0144
PH01603,+91-7054478557,Mobile,P02041,BSNL,Active,C0144
PH01604,+91-9040563087,Mobile,P02043,Vi,Active,C0144
PH01605,+91-7887209584,Mobile,P02045,BSNL,Active,C0144
PH01606,+91-8781519258,Mobile,P02046,BSNL,Active,C0144
PH01607,+91-7261463699,Mobile,P02047,Jio,Active,C0144
PH01608,+91-7967211106,Mobile,P02048,BSNL,Active,C0144
PH01609,+91-9799366612,Mobile,P02049,BSNL,Active,C0144
PH01610,+91-8219703648,Mobile,P02050,MetroWave Communications,Active,C0144
PH01611,+91-9789058869,Mobile,P02050,Airtel,Active,C0144
PH01612,+91-9598035082,Mobile,P02051,MetroWave Communications,Inactive,C0144
PH01613,+91-8349813537,Mobile,P02052,Vi,Inactive,C0144
PH01614,+91-8044007657,Mobile,P02053,Vi,Active,C0144
PH01615,+91-7892708222,Mobile,P02055,Airtel,Active,C0144
PH01616,+91-7312739908,Mobile,P02057,MetroWave Communications,Active,C0144
PH01617,+91-8751078477,Mobile,P02058,Vi,Active,C0144
PH01618,+91-9719544737,Landline,P02059,MetroWave Communications,Active,C0145
PH01619,+91-7516621486,Mobile,P02060,BSNL,Inactive,C0145
